key;title;author;booktitle;year;abstract;keywords;organization;type;reviewers;review;decision
journals/entcs/GhaniHP06;Continuous Functions on Final Coalgebras.;Dirk Pattinson|Neil Ghani|Peter G. Hancock;CMCS;2006;Est sed aliquam est dolorem dolore.;Data Structures|Data Mining;Swiss Federal Institute of Technology in Lausanne;university;Francisco Cervantes|Anton Lyubinin|Brian L. Steward;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Marti-Oliet05;Preface.;Narciso Martí-Oliet;WRLA;2004;Est sed aliquam est dolorem dolore.;Relational Databases|Computer Networks;King Saud University;university;Wolfgang Buchholz|Omer Tamuz|Martín Hötzel Escardó;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Lenisa99;From Set-theoretic Coinduction to Coalgebraic Coinduction: some results, some problems.;Marina Lenisa;CMCS;1999;Est sed aliquam est dolorem dolore.;Data Structures;Boston College;university;Jameson M. Wetmore|Cristina M. Beltran-Aroca|Markus Garschall;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/GuanL14;On a Condition for Semirings to Induce Compact Information Algebras.;Xuechong Guan|Yongming Li 0001;ISDT;2013;Est sed aliquam est dolorem dolore.;Relational Databases;Leiden University;university;David Canning|Itziar Lazkano|Amir Mollanejad;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/MestelR16;Reducing Complex CSP Models to Traces via Priority.;A. W. Roscoe 0001|David Mestel;MFPS;2016;Est sed aliquam est dolorem dolore.;Data Structures|Data Mining;National Chiao Tung University;university;Bálint Péter Kerekes|Thijs J. Wendrich|Jana Kliestikova;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/ArieliS16;Deductive Argumentation by Enhanced Sequent Calculi and Dynamic Derivations.;Christian Straßer|Ofer Arieli;LSFA;2015;Est sed aliquam est dolorem dolore.;Data Engineering|Computer Networks;Southeast University;university;Michal Munk|Michael J. Bernstein|Beatrix Paal;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/FernandezK02;Interaction Nets with McCarthy's amb.;Lionel Khalil|Maribel Fernández;EXPRESS;2002;Est sed aliquam est dolorem dolore.;NLP;Makerere University;university;Sayyed Mohsen Zare|Mathieu Parenti|Mikhail Moshkov;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/SilvaS11;Sound and Complete Axiomatization of Trace Semantics for Probabilistic Systems.;Alexandra Silva 0001|Ana Sokolova;MFPS;2011;Est sed aliquam est dolorem dolore.;NLP;Old Dominion University;university;Adeeb M. Alhomoud|Mikhail Yu. Shashkov|Chung-Kil Hur;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BozzanoDM01;On the Relations between Disjunctive and Linear Logic Programming.;Giorgio Delzanno|Marco Bozzano|Maurizio Martelli;APPIA-GULP-PRODE;2001;Est sed aliquam est dolorem dolore.;Relational Databases;University of Trento;university;Ryan van Nood|Sainbayar Sukhbaatar|Alfred Herrera;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/RaskinB04;Petri Nets with Non-blocking Arcs are Difficult to Analyze.;Jean-François Raskin|Laurent Van Begin;INFINITY;2003;Est sed aliquam est dolorem dolore.;Data Engineering|Relational Databases|Data Mining;University of Texas at Arlington;university;Eugene N. Tsyganov|Martyn Fletcher|Helios Vocca;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/NeuhausserN07;Abstraction and Model Checking of Core Erlang Programs in Maude.;Martin R. Neuhäußer|Thomas Noll 0001;WRLA;2006;Est sed aliquam est dolorem dolore.;NLP|Data Mining;Emory University;university;Raymond C. Tait|Mel Krokos|David A. Ham;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/StumpBBHK05;From Rogue to MicroRogue.;Aaron Stump|Bill Kinnersley|James C. Brodman|Jonathan Hseu|Ryan Besand;WRLA;2004;Est sed aliquam est dolorem dolore.;Data Engineering|Big Data;Morgan Stanley;company;Juan Gabriel Rodríguez|Arthur J. Robson|Yuval Elovici;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/HussainH06;Automata Games for Multiple-model Checking.;Altaf Hussain|Michael Huth;MFPS;2005;Est sed aliquam est dolorem dolore.;Semantic Data|High Performance Computing|NLP;University of Miyazaki;university;Gregory Z. Grudic|Hassan Bajwa|Marina Azzimonti;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/AdamekP01;From Varieties of Algebras to Covarieties of Coalgebras.;Hans-E. Porst|Jirí Adámek;CMCS;2001;Est sed aliquam est dolorem dolore.;Machine Learning|Semantic Data|NLP;Southern Illinois University Carbondale;university;Jesse Engebretson|A. Robert Calderbank|N. Vijaya Bala;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/EnglanderDH15;Yet Another Bijection Between Sequent Calculus and Natural Deduction.;Cécilia Englander|Edward Hermann Haeusler|Gilles Dowek;LSFA;2014;Est sed aliquam est dolorem dolore.;High Performance Computing|Data Mining;University of Sassari;university;Alessandra Cenci|Sushil Bikhchandani|Brian Blanton;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Teodosiu12;A Truly Concurrent Process Semantics over Multi-Pomsets of Consumable Resources.;Dan Teodosiu 0001;MFPS;2012;Est sed aliquam est dolorem dolore.;Relational Databases|High Performance Computing;Indian Institute of Technology Madras;university;Hendrik Tews|Robert G. Belleman|Ricardo Queiroz de Araujo Fernandes;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/GadducciM96;Tiles, rewriting rules and CCS.;Fabio Gadducci|Ugo Montanari;WRLA;1996;Est sed aliquam est dolorem dolore.;NLP|Data Engineering;Citigroup;company;Garry P. Nolan|Serge P. J. M. Horbach|Dónal O'Mathúna;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BianchiNTT19;Circuits and Circulant Minors.;Graciela L. Nasini|Luis Miguel Torres|Paola B. Tolomei|Silvia M. Bianchi;LAGOS;2019;Est sed aliquam est dolorem dolore.;NLP;Magna GrÃ¦cia University of Catanzaro;university;Josep-E. Baños|Keir G. Armstrong|Leonidas G. Koniaris;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/AdamekMV05;Iterative Algebras for a Base.;Jiri Velebil|Jirí Adámek|Stefan Milius;CTCS;2004;Est sed aliquam est dolorem dolore.;Big Data|Semantic Data|Computer Networks;Ghent University;university;Raffaele de Amicis|Christian Bauckhage|Falk Bartels;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/VianaC19;The Generalized Dependency Constrained Spanning Tree Problem.;Luiz Alberto do Carmo Viana|Manoel B. Campêlo;LAGOS;2019;Est sed aliquam est dolorem dolore.;Machine Learning|Data Structures|NLP;National Taiwan University;university;Paola Labrecciosa|Mark Ryan 0004|Gabriel G. Castañé;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Adamek03;On a Description of Terminal Coalgebras and Iterative Theories.;Jirí Adámek;CMCS;2003;Est sed aliquam est dolorem dolore.;High Performance Computing|NLP;Comcast;company;Patricia Johann|Adina-Elena Glava|Clare Shelley-Egan;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/KotS05;Bisimulation equivalence of a BPP and a finite-state system can be decided in polynomial time.;Martin Kot|Zdenek Sawa;INFINITY;2004;Est sed aliquam est dolorem dolore.;Computer Networks;Royal Veterinary College, University of London;university;Bernhard Gatzhammer|David García 0001|Sándor Szedmák;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Millen00;Applications of Term Rewriting to Cryptographic Protocol Analysis overview of the invited talk.;Jonathan K. Millen;WRLA;2000;Est sed aliquam est dolorem dolore.;High Performance Computing;Ruprecht Karl University of Heidelberg;university;Ismael Rodríguez|Beata Szymanska|Emmanuelle Gutiérrez y Restrepo;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/CernaKK96;Bisimilarity is decidable in the union of normed BPA and normed BPP processes.;Antonín Kucera 0001|Ivana Cerná|Mojmír Kretínský;INFINITY;1996;Est sed aliquam est dolorem dolore.;Data Engineering;Caterpillar;company;Rodrigo Novinski|Kan Yu|Karl Rupp;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BonchiGM09;Labelled Transitions for Mobile Ambients (As Synthesized via a Graphical Encoding).;Fabio Gadducci|Filippo Bonchi|Giacoma Valentina Monreale;EXPRESS;2008;Est sed aliquam est dolorem dolore.;Data Mining|Semantic Data;Hanyang University;university;Ian J. Goodfellow|Guido Ruivenkamp|Alberto Montebelli;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Laird01;A Game Semantics of Idealized CSP.;James Laird;MFPS;2001;Est sed aliquam est dolorem dolore.;Computer Networks;Versailles Saint-Quentin-en-Yvelines University;university;Sheila Jasanoff|Ben Paechter|Bram Vanderborght;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Baltag03;A Coalgebraic Semantics for Epistemic Programs.;Alexandru Baltag;CMCS;2003;Est sed aliquam est dolorem dolore.;NLP|Data Structures|Data Mining;Sharif University of Technology;university;Fabrizio Zilibotti|Pekka Parviainen|Hassan Al-Thani;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/MogelbergS07;Relational Parametricity for Control Considered as a Computational Effect.;Alex Simpson|Rasmus Ejlers Møgelberg;MFPS;2007;Est sed aliquam est dolorem dolore.;Relational Databases|Semantic Data|Big Data;University of Missouriâ€“Kansas City;university;Yuxuan Zhu|Dana Heller|Michael McCann;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Rossiger99;Languages for Coalgebras on Datafunctors.;Martin Rößiger;CMCS;1999;Est sed aliquam est dolorem dolore.;Data Mining|Machine Learning|Big Data;University of Fribourg;university;Maarten C. A. van der Sanden|Leo Ferraris|Roi Livni;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Worrell99;Terminal sequences for accessible endofunctors.;James Worrell 0001;CMCS;1999;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases|Data Structures;University of Basilicata;university;Evangelos A. Theodorou|Paolo Mazzoleni|Marco Paviotti;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Pavlich-MariscalFL13;Towards Security Assurance in Round-Trip Engineering: A Type-Based Approach.;Ariel Lopez|Jaime A. Pavlich-Mariscal|María Consuelo Franky;CLEI Selected Papers;2012;Est sed aliquam est dolorem dolore.;Computer Networks|NLP|Data Structures;University of Nebraskaâ€“Lincoln;university;Axel Lehmann 0001|Frédéric Vidal|Judy Qiu;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/PowerW98;An axiomatics for categories of coalgebras.;Hiroshi Watanabe 0002|John Power;CMCS;1998;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures|Data Mining;Ehime University;university;Marc Sebban|Sundararajan Sellamanickam|Marcel Zefferer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Rodriguez07;On Modelling Sensor Networks in Maude.;Dilia E. Rodríguez;WRLA;2006;Est sed aliquam est dolorem dolore.;NLP|Data Structures;Emory University;university;Vinod Lohani|Prem Raj Adhikari|Luca Aceto;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BouajjaniLW05;Handling Liveness Properties in (;Ahmed Bouajjani|Axel Legay|Pierre Wolper;INFINITY;2004;Est sed aliquam est dolorem dolore.;Machine Learning|NLP|Relational Databases;Beijing University of Chemical Technology;university;Marc Santugini|Sheldon Abrams|Dimitri Vayanos;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/HirschowitzHH09;Contraction-free Proofs and Finitary Games for Linear Logic.;André Hirschowitz|Michel Hirschowitz|Tom Hirschowitz;MFPS;2009;Est sed aliquam est dolorem dolore.;Computer Networks;University of Nebraska Medical Center;university;Robert Demolombe|Abdul Kabir Hussain Solihu|Austin Melton;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Kozen11;Realization of Coinductive Types.;Dexter Kozen;MFPS;2011;Est sed aliquam est dolorem dolore.;Semantic Data|Machine Learning|Data Mining;Barclays;company;Elham Hashemizadeh|Mustafa Ulutas|Hasan Erdinc Kocer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Jacobs19;Learning along a Channel: the Expectation part of Expectation-Maximisation.;Bart Jacobs 0001;MFPS;2019;Est sed aliquam est dolorem dolore.;Data Structures|Semantic Data;Vale;company;Denis Gromb|Victor V. Toporkov|Astrid Barona;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/MaidlCM08;Maude Object-Oriented Action Tool.;André Murbach Maidl|Cláudio Carvilhe|Martin A. Musicante;LSFA;2007;Est sed aliquam est dolorem dolore.;Data Structures|Relational Databases;University of Portsmouth;university;Suresh K. Bhavnani|Navin Kartik|Christos Koulovatianos;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Schmidt09;Abstract Interpretation From a Denotational-semantics Perspective.;David A. Schmidt;MFPS;2009;Est sed aliquam est dolorem dolore.;NLP|High Performance Computing;Kurume University;university;A. W. Roscoe 0001|Lisa M. Dolling|Antonio Miralles;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/CaprottiC99;Integrating computational and deduction systems using OpenMath.;Arjeh M. Cohen|Olga Caprotti;Calculemus;1999;Est sed aliquam est dolorem dolore.;NLP|Machine Learning|Relational Databases;Macquarie University;university;Ricardo Serrano-Padial|Xavier Gabaix|William B. Thompson;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Lassen99;Bisimulation in Untyped Lambda Calculus: Böhm Trees and Bisimulation up to Context.;S. Lassen;MFPS;1999;Est sed aliquam est dolorem dolore.;Relational Databases;Joseph Fourier University;university;Jacques Carette|André Baier|Régis Cridlig;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Crowder11;A Quantum Representation for Involution Groups.;Tanner Crowder;MFPS;2011;Est sed aliquam est dolorem dolore.;Data Mining;National University of Singapore;university;Sergey Goncharov 0001|Maria Misankova|Katarzyna Kaczmarczyk;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/EscobarMS09;Variant Narrowing and Equational Unification.;José Meseguer|Ralf Sasse|Santiago Escobar 0001;WRLA;2008;Est sed aliquam est dolorem dolore.;Computer Networks;Jinan University;university;Amit Patel 0001|Charles E. Harris|Christoph Lutz;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Giunchiglia99;The OMRS project: State of the art.;Fausto Giunchiglia;Calculemus;1999;Est sed aliquam est dolorem dolore.;Computer Networks|Data Structures|Data Engineering;Federal University of ABC;university;Nuria Aleixos|Hannes Nickisch|Antonio Bernabe-Ortiz;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Levy07;Amb Breaks Well-Pointedness, Ground Amb Doesn't.;Paul Blain Levy;MFPS;2007;Est sed aliquam est dolorem dolore.;Relational Databases|Semantic Data;UniversitÃ© libre de Bruxelles;university;Yuyang Wang|Christopher Yeomans|Johannes Hörner;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BrogiJ98;On the Expressiveness of Linda-like Concurrent Languages.;Antonio Brogi|Jean-Marie Jacquet;EXPRESS;1998;Est sed aliquam est dolorem dolore.;Big Data;University of Basilicata;university;Paul Caspi|Michael J. Healy|Kostas Kastrantas;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/SumbaSTBES16;Detecting Similar Areas of Knowledge Using Semantic and Data Mining Technologies.;Andres Tello|Fernando Baculima|Freddy Sumba|Mauricio Espinoza|Victor Saquicela|Xavier Sumba;CLEI Selected Papers;2016;Est sed aliquam est dolorem dolore.;Data Structures|High Performance Computing;Technical University of Munich;university;Mauro Mattioli|Robert L. Sedlmeyer|Anna Julie Rasmussen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/MontoyaM13;Some Remarks Concerning the Algorithmic Analysis of Gene Regulatory Networks.;Carolina Mejía|J. Andrés Montoya;CLEI Selected Papers;2012;Est sed aliquam est dolorem dolore.;Semantic Data|Relational Databases|Big Data;Shinshu University;university;Carlos Eduardo Scheidegger|Chad Kendall|Lætitia Placido;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/AcetoHIK97;Relating semantic models for the object calculus.;Anna Ingólfsdóttir|Hans Hüttel|Josva Kleist|Luca Aceto;EXPRESS;1997;Est sed aliquam est dolorem dolore.;Data Engineering|Big Data|Computer Networks;Saudi Telecom;company;Mariana Rojas Breu|Nuno Correia 0001|Laheeb Ibrahim;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Monteiro00;Observation systems.;Luís Monteiro;CMCS;2000;Est sed aliquam est dolorem dolore.;Computer Networks|High Performance Computing|Semantic Data;University FranÃ§ois Rabelais, Tours;university;Kelson Rômulo Teixeira Aires|Heike Wehrheim|Quan Chen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/WuF14;Generalized Scott Topology on Sets with Families of Pre-orders.;Lei Fan|Li-Gang Wu;ISDT;2013;Est sed aliquam est dolorem dolore.;Data Mining|Machine Learning|Computer Networks;University of Illinois at Urbanaâ€“Champaign;university;Andrés Perea|Marco Slikker|Mitch Brown;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Wehrheim99;Partial order reductions for failures refinement.;Heike Wehrheim;EXPRESS;1999;Est sed aliquam est dolorem dolore.;NLP;Norwegian University of Life Sciences;university;Flavio Ferrarotti|Ana Paula Lüdtke Ferreira|Chuanhua Xu;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Jacobs00;Towards a Duality Result in Coalgebraic Modal Logic.;Bart Jacobs 0001;CMCS;2000;Est sed aliquam est dolorem dolore.;Data Mining|Relational Databases|Big Data;University of Arkansas - Fayetteville;university;Rodrigo Geraldo Ribeiro|Antonio Bicchi|David Grangier;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/LeiZ19;Generalizing Topological Set Operators.;Jun Zhang 0009|Yinbin Lei;ISDT;2019;Est sed aliquam est dolorem dolore.;Data Structures|Relational Databases;Kaiserslautern University of Technology;university;Justin Burkett|Christos Dimitrakakis|Hossein Azari Soufiani;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Laird15;Sequential Algorithms for Unbounded Nondeterminism.;James Laird;MFPS;2015;Est sed aliquam est dolorem dolore.;Data Structures|Data Engineering|Machine Learning;Costco Wholesale;company;Frances S. Grodzinsky|Wioletta Dziuda|Tatjana Terzic;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/PaviottiMB15;A Model of PCF in Guarded Type Theory.;Lars Birkedal|Marco Paviotti|Rasmus Ejlers Møgelberg;MFPS;2015;Est sed aliquam est dolorem dolore.;Relational Databases|High Performance Computing|Machine Learning;Canadian National Railway;company;Mark C. Wallace|Daniel Diaz|María Rosa Galli;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/SternagelT15;A Framework for Developing Stand-Alone Certifiers.;Christian Sternagel|René Thiemann;LSFA;2014;Est sed aliquam est dolorem dolore.;Machine Learning|High Performance Computing|Big Data;University of Navarra;university;Greta Gorsuch|Tammy English|Hans Peter Grüner;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Masulovic01;Invariants of monadic coalgebras.;Dragan Masulovic;CMCS;2001;Est sed aliquam est dolorem dolore.;NLP|Semantic Data|Data Mining;Vrije Universiteit Brussel;university;Karl Fürlinger|Juan D. Carrillo|Venkataraman Bhaskar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Honorato-Zimmer18;Chromar, a Rule-based Language of Parameterised Objects.;Andrew J. Millar|Argyris Zardilis|Gordon D. Plotkin|Ricardo Honorato-Zimmer;SASB;2018;Est sed aliquam est dolorem dolore.;Computer Networks;University of Exeter;university;Steve Vanderheiden|Qirong Ho|Shahram Sarkani;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/HorozalR09;Representing Model Theory in a Type-Theoretical Logical Framework.;Feryal Fulya Horozal|Florian Rabe 0001;LSFA;2009;Est sed aliquam est dolorem dolore.;Data Mining|Data Structures;Federal University of CearÃ¡;university;Francisco Castejón|Qirong Ho|Farzaneh Mahdian;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/GaldinoA09;A PVS Theory for Term Rewriting Systems.;André Luiz Galdino|Mauricio Ayala-Rincón;LSFA;2008;Est sed aliquam est dolorem dolore.;Machine Learning|NLP;University of Helsinki;university;Wendy Shamier|Kumaresh Singh|Guglielmo M. Tino;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Goubault-LarrecqJ14;QRB, QFS, and the Probabilistic Powerdomain.;Achim Jung|Jean Goubault-Larrecq;MFPS;2014;Est sed aliquam est dolorem dolore.;Big Data|Machine Learning|High Performance Computing;Washington University in St. Louis;university;Bidi Ying|Alessandro Citanna|Jack C. Wileden;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/DaiFH19;On Coloring a Class of Claw-free Graphs: To the memory of Frédéric Maffray.;Angèle M. Foley|Chính T. Hoàng|Yingjun Dai;LAGOS;2019;Est sed aliquam est dolorem dolore.;Relational Databases|Computer Networks|Semantic Data;Citic Securities;company;Rick A. Luettich|Jonathan Beever|Alain Chateauneuf;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/IbiapinaS19;Graphs with Girth at Least 8 are b-continuous.;Allen Ibiapina|Ana Silva;LAGOS;2019;Est sed aliquam est dolorem dolore.;Relational Databases;Poste Italiane;company;Martin Jaggi|Rachel J. Huang|Chang Koo Chi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/LetichevskyKVCKG99;The development of interactive algorithms for the Mathematical Environment.;A. Chugayenko|Alexander A. Letichevsky|David R. Gilbert|Julia V. Kapitonova|Victor Khomenko|Vladislav A. Volkov;Calculemus;1999;Est sed aliquam est dolorem dolore.;Machine Learning;Banorte;company;Dorthie Cross|Lyndon N. Smith|Gábor Prószéky;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/CaccamoW05;Limit Preservation from Naturality.;Glynn Winskel|Mario Cáccamo;CTCS;2004;Est sed aliquam est dolorem dolore.;Data Structures|Big Data;University of CÃ³rdoba (Spain);university;Elena Carletti|Thierry Hurlimann|Shenghao Zhu;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Leroux04;The Affine Hull of a Binary Automaton is Computable in Polynomial Time.;Jérôme Leroux;INFINITY;2003;Est sed aliquam est dolorem dolore.;NLP|Computer Networks|Machine Learning;University of Naples Federico II;university;Changzhi Liang|Jon P. Wade|Borja Balle;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BuchlovskyT06;A Type-theoretic Reconstruction of the Visitor Pattern.;Hayo Thielecke|Peter Buchlovsky;MFPS;2005;Est sed aliquam est dolorem dolore.;Computer Networks;University of Pittsburgh - Pittsburgh Campus;university;Marilda Sotomayor|Nils Hauenschild|Weerachart T. Kilenthong;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Syvreson99;Towards a Strand Semantics for Authentication Logic.;Paul Syvreson;MFPS;1999;Est sed aliquam est dolorem dolore.;Computer Networks|Relational Databases|Data Structures;University of L'Aquila;university;Michael Volas|Joseph Y. Halpern|Andreas Schabert;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Nielsen01;A Selective CPS Transformation.;Lasse R. Nielsen;MFPS;2001;Est sed aliquam est dolorem dolore.;Machine Learning|Data Structures;Tufts University;university;Sebastián Bustamante|Nathan Labhart|Gadi Fibich;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/ArroyoOO11;Multi-objective Variable Neighborhood Search Algorithms for a Single Machine Scheduling Problem with Distinct due Windows.;Alcione de Paiva Oliveira|José Elias Claudio Arroyo|Rafael dos Santos Ottoni;CLEI Selected Papers;2011;Est sed aliquam est dolorem dolore.;NLP;University of Warsaw;university;Pierre Beust|Chetan Kumar Ng|Robert L. Sedlmeyer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/SadrzadehD09;Positive Logic with Adjoint Modalities: Proof Theory, Semantics and Reasoning about Information.;Mehrnoosh Sadrzadeh|Roy Dyckhoff;MFPS;2009;Est sed aliquam est dolorem dolore.;Semantic Data;Royal Institute of Technology;university;Ralph Kopperman|Otman A. Basir|Anne M. Etgen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Cachat02;Uniform Solution of Parity Games on Prefix-Recognizable Graphs.;Thierry Cachat;INFINITY;2002;Est sed aliquam est dolorem dolore.;Semantic Data;University of Colorado Boulder;university;Hülya Kodan|Martin R. Neuhäußer|Harsh Beohar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BreugelW99;A Note on Hyperspaces and Terminal Coalgebras.;Franck van Breugel|Stephen Watson;CMCS;1999;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases;University of Texas Health Science Center at Houston;university;Nicolas Tabareau|Alvaro Tasistro|Michael Schwind;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/LivierisKP19;Detecting Lung Abnormalities From X-rays Using an Improved SSL Algorithm.;Andreas Kanavos|Ioannis E. Livieris|Panagiotis E. Pintelas;BRAINS/WS-AFFIN@AmI;2018;Est sed aliquam est dolorem dolore.;Computer Networks|NLP;Brock University;university;Jürgen Koslowski|Shizhong Liao|Joshua Sterling;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BruniM97;Zero-safe nets, or transition synchronization made simple.;Roberto Bruni|Ugo Montanari;EXPRESS;1997;Est sed aliquam est dolorem dolore.;Big Data|Data Mining;Tehran University of Medical Sciences;university;Ian Karlin|Andrew J. Connolly|Franck Portier;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/DennisJP06;On the Comparison of Proof Planning Systems: lambdaCLAM, Omega and IsaPlanner.;Louise A. Dennis|Martin Pollet|Mateja Jamnik;Calculemus;2005;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures|Data Mining;Alphabet;company;Steven Scroggin|Alan S. Willsky|András Millinghoffer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/AttieC06;Automatic Verification of Fault-Tolerant Register Emulations.;Hana Chockler|Paul C. Attie;INFINITY;2005;Est sed aliquam est dolorem dolore.;Computer Networks|NLP|Data Structures;Massachusetts Institute of Technology;university;Jun Wang 0017|Markus Reisinger|Ekkehard Köhler;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Miranda-Perea09;Some Remarks on Type Systems for Course-of-value Recursion.;Favio E. Miranda-Perea;LSFA;2008;Est sed aliquam est dolorem dolore.;Computer Networks|Data Structures;Fu Jen Catholic University;university;Simone van der Burg|Ilka Philippow|Konrad Podczeck;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/BugliesiF09;Security Abstractions and Intruder Models (Extended Abstract).;Michele Bugliesi|Riccardo Focardi;EXPRESS;2008;Est sed aliquam est dolorem dolore.;NLP|High Performance Computing;University of Erlangen-Nuremberg;university;Pamela Sankar|Unai Díaz-Orueta|Guillaume Dufour;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Beeson99;Automatic derivation of the irrationality of e.;Michael Beeson;Calculemus;1999;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures|Computer Networks;University of Los Andes (Colombia);university;Abdullah Bal|Franz Dietrich|Lucy Saunders-Evans;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/entcs/Borgstrom06;Static Equivalence ;Johannes Borgström;EXPRESS;2005;Est sed aliquam est dolorem dolore.;Data Mining|NLP|Semantic Data;Showa University;university;Margus Pedaste|Kristóf Karacs|Alfredo Tirado-Ramos;Sed porro dolor numquam eius consectetur ipsum.;accepted
